ticker,location,corporate_viability,avg_roe,avg_rotc,avg_npm,avg_current_ratio,avg_debt_ebit,avg_div_payout_ratio,avg_eps_reps
ABAX,CA,0.25,0.170111906,0.167622452,0.187022613,7.17719369,0.094567593,0.288208089,0.300552698
KRO,TX,0.222222222,0.2109746,0.136831631,0.099389929,3.723054662,0.528667851,0.531678966,-0.614233915
HAS,RI,0.2,0.315737362,0.160469099,0.117756706,2.48944284,3.30467787,0.582181116,0.108568402
UTMD,UT,0.2,0.256027924,0.214492803,0.348588607,4.769474936,0.782499331,0.49367791,0.181466107
PRGS,MA,0.2,0.101841143,0.082727506,0.108697074,1.630172786,2.237711613,0.210199482,0.195785212
CMP,KS,0.2,0.394938093,0.163252915,0.160288723,2.501253531,5.717742445,0.755497874,0.333632875
PX,CT,0.2,0.358441754,0.157547342,0.191741894,1.105777488,3.565581868,0.466033934,0.156873089
VFC,NC,0.181818182,0.276689424,0.193713214,0.120345051,2.204214793,1.508812669,0.513164312,0.439411569
BMY,NY,0.181818182,0.31635846,0.214718291,0.237111697,1.704544889,1.881971882,0.957164435,0.122398731
IBM,NY,0.181818182,0.983472794,0.31896536,0.183627141,1.235015619,2.359448246,0.37311174,0.115245209
MRK,NJ,0.181818182,0.203768855,0.139511343,0.227680239,1.688323873,3.63096937,1.345314212,0.144565193
KO,GA,0.181818182,0.367847833,0.172674619,0.248335898,1.143750759,3.606978812,1.059536791,0.132362917
PEP,NY,0.181818182,0.540864356,0.206008892,0.142217623,1.207081524,3.149554403,0.568685066,0.147651303
UPS,GA,0.181818182,2.715815539,0.285282413,0.091017518,1.480626825,3.497104752,0.829033646,0.481488308
SGA,MI,0.166666667,0.217631077,0.135646113,0.183077168,2.738405523,2.380344242,0.401965835,0.176306985
MXIM,CA,0.166666667,0.24197688,0.167995268,0.225752201,5.492225784,2.232568175,0.969024137,0.17355291
FLIR,OR,0.166666667,0.16543734,0.134942246,0.176483524,3.878461947,1.409742701,0.287524653,0.126315959
GWW,IL,0.166666667,0.419035078,0.291454573,0.115755484,2.324497644,1.025300201,0.352958376,0.115881345
