NC	2011	0.153846153846
MA	2015	0.152173913043
NJ	2011	0.151515151515
TX	2014	0.150537634409
PA	2015	0.15
WI	2015	0.15
MA	2016	0.148936170213
CA	2016	0.143939393939
IL	2017	0.142857142857
GA	2016	0.142857142857
KY	2016	0.142857142857
NJ	2016	0.142857142857
KY	2015	0.142857142857
NE	2015	0.142857142857
CO	2014	0.142857142857
CT	2014	0.142857142857
LA	2013	0.142857142857
MD	2013	0.142857142857
OK	2013	0.142857142857
UT	2013	0.142857142857
WI	2013	0.142857142857
AZ	2012	0.142857142857
CO	2012	0.142857142857
PA	2012	0.142857142857
NE	2011	0.142857142857
WA	2010	0.142857142857
MA	2009	0.142857142857
IL	2016	0.136363636364
OH	2016	0.136363636364
VA	2014	0.136363636364
CO	2013	0.136363636364
FL	2014	0.135135135135
MA	2017	0.133333333333
AZ	2015	0.133333333333
WA	2013	0.133333333333
PA	2014	0.131578947368
MN	2016	0.129032258065
Unknown	2016	0.128205128205
LA	2018	0.125
NC	2018	0.125
NV	2017	0.125
MI	2015	0.125
NC	2014	0.125
UT	2012	0.125
NV	2010	0.125
MI	2009	0.125
CT	2008	0.125
GA	2017	0.121212121212
MI	2013	0.12
OH	2014	0.119047619048
WA	2015	0.117647058824
VA	2010	0.117647058824
MN	2009	0.117647058824
TX	2013	0.116279069767
CT	2018	0.115384615385
FL	2016	0.114285714286
NJ	2015	0.114285714286
PA	2013	0.114285714286
NY	2017	0.111111111111
Unknown	2017	0.111111111111
KY	2014	0.111111111111
UT	2014	0.111111111111
KY	2013	0.111111111111
NV	2012	0.111111111111
UT	2011	0.111111111111
NC	2009	0.111111111111
CT	2017	0.107142857143
NY	2018	0.106666666667
PA	2018	0.105263157895
WA	2018	0.105263157895
FL	2015	0.105263157895
WI	2011	0.105263157895
GA	2009	0.105263157895
OH	2011	0.102564102564
WA	2017	0.1
SC	2015	0.1
SC	2014	0.1
NV	2013	0.1
WA	2009	0.1
PA	2017	0.0975609756098
TX	2018	0.0967741935484
CO	2018	0.0952380952381
MI	2011	0.0952380952381
NV	2016	0.0909090909091
NJ	2017	0.0882352941176
TX	2017	0.0879120879121
VA	2015	0.0869565217391
GA	2013	0.0857142857143
Unknown	2014	0.0833333333333
TN	2011	0.0833333333333
OH	2018	0.0810810810811
AZ	2017	0.0769230769231
FL	2017	0.0769230769231
AZ	2016	0.0769230769231
AZ	2011	0.0769230769231
NC	2010	0.0769230769231
OH	2013	0.0731707317073
OH	2012	0.0731707317073
TN	2017	0.0714285714286
CT	2016	0.0714285714286
CT	2015	0.0714285714286
OH	2015	0.0714285714286
OK	2015	0.0714285714286
TN	2015	0.0714285714286
AZ	2014	0.0714285714286
MD	2014	0.0714285714286
OK	2014	0.0714285714286
TN	2013	0.0714285714286
TN	2016	0.0666666666667
AZ	2013	0.0666666666667
WA	2012	0.0666666666667
WA	2011	0.0666666666667
WI	2010	0.0666666666667
TX	2015	0.0631578947368
TX	2016	0.0625
WA	2014	0.0625
CO	2011	0.0625
OH	2010	0.0606060606061
IN	2016	0.0588235294118
CT	2009	0.0588235294118
IN	2015	0.0555555555556
VA	2013	0.0555555555556
OH	2009	0.0555555555556
FL	2018	0.0540540540541
CO	2016	0.05
CO	2015	0.05
MI	2010	0.05
CO	2017	0.047619047619
PA	2016	0.047619047619
VA	2017	0.0454545454545
VA	2016	0.0454545454545
MI	2014	0.0454545454545
MI	2017	0.0434782608696
GA	2018	0.030303030303
GA	2014	0.030303030303
OH	2017	0.025
AR	2019	0
AZ	2019	0.0
