ticker,fiscal_year,cash_operating_activities,dividends_paid
ACAT,2015,19123000,-4917000
ACCO,2010,54900000,
ACCO,2011,61800000,
ACCO,2012,-7500000,
ACCO,2013,194500000,
ACCO,2014,171700000,
ACCO,2015,171200000,
ACCO,2016,165900000,
ACCO,2017,204900000,
ACCO,2018,194800000,-25100000
ACET,2011,15845000,-5206000
ACET,2012,14981000,-5331000
ACET,2013,25476000,-6016000
ACET,2014,25056000,-6806000
ACET,2015,8343000,-6964000
ACET,2016,31831000,-7084000
ACET,2017,44567000,-7831000
ACET,2018,101806000,-6288000
ACF,2018,7372000000,-434000000
ACGL,2009,992647000,-25844000
ACGL,2010,802074000,-25844000
ACGL,2011,866112000,-25844000
ACGL,2012,921603000,-28381000
ACGL,2013,850868000,-21938000
ACGL,2014,1037130000,-21938000
ACGL,2015,997906000,-21938000
ACGL,2016,1396644000,-28070000
ACGL,2017,1112617000,-46041000
ACGL,2018,1559322000,-41645000
ACHC,2010,8195000,-2297000
ACHC,2011,-20666000,-375000
ACHC,2012,33898000,
ACHC,2013,65562000,
ACHC,2014,115286000,
ACHC,2015,240403000,
ACHC,2016,361478000,
ACHC,2017,399577000,
ACHC,2018,414080000,
ACIA,2015,22450000,
ACIA,2016,101214000,
ACIA,2017,63523000,
ACIA,2018,83085000,
ACLS,2010,-5892000,
ACLS,2011,3533000,
ACLS,2012,-10597000,
ACLS,2013,-15042000,
ACLS,2014,-16045000,
ACLS,2015,18267000,
ACLS,2016,-8788000,
ACLS,2017,56284000,
ACLS,2018,46965000,
ACLZ,2012,166059,
ACLZ,2013,749198,
ACLZ,2014,-2621600,
ACLZ,2015,-2087765,
ACLZ,2016,320912,
ACLZ,2017,-1470182,
ACLZ,2018,-3460496,
ACM,2009,228640000,
ACM,2010,158635000,
ACM,2011,132012000,
ACM,2012,433352000,
ACM,2013,408598000,
ACM,2014,360625000,
ACM,2015,764433000,
ACM,2016,814155000,
ACM,2017,696654000,
ACM,2018,774553000,
ACM,2019,777616000,
ACN,2009,3160202000,-378446000
ACN,2010,3091620000,-824148000
ACN,2011,3441739000,-643642000
ACN,2012,4256852000,-950857000
ACN,2013,3303128000,-1121738000
ACN,2014,3486085000,-1254916000
ACN,2015,4092137000,-1353471000
ACN,2016,4575115000,-1438138000
ACN,2017,4973039000,-1567578000
ACN,2018,6026691000,-1708724000
ACN,2019,6626953000,-1864353000
ACPW,2010,68000,
ACPW,2011,-6650000,
ACPW,2012,-5990000,
ACPW,2013,-1307000,
ACPW,2014,-7228000,
ACPW,2015,-1579000,
ACPW,2016,-7169000,
ACRX,2010,-12225000,
ACRX,2011,-15287000,
ACRX,2012,-24582000,
ACRX,2013,-487000,
ACRX,2014,-34456000,
ACRX,2015,-19953000,
ACRX,2016,-29395000,
ACRX,2017,-29765000,
ACRX,2018,-29075000,
ACT,2009,376800000,
ACT,2010,571000000,
ACT,2011,632000000,
ACT,2012,665800000,
ACW,2011,-1537000,
ACW,2012,28728000,
ACW,2013,-1926000,
ACW,2014,32515000,
ACW,2015,42737000,
ACY,2010,4624400,
ACY,2011,2909600,
ACY,2012,24916300,
ACY,2013,6872600,
ACY,2014,5235400,
ACY,2015,10556800,
ACY,2016,11344500,
ACY,2017,14570700,
ACY,2018,17941200,
ADBE,2008,1280682000,
ADBE,2009,1117794000,
ADBE,2010,1112995000,
ADBE,2011,1543314000,
ADBE,2012,1499580000,
ADBE,2013,1151686000,
ADBE,2014,1287482000,
ADBE,2015,1469502000,
ADBE,2016,2199728000,
ADBE,2017,2912853000,
ADBE,2018,4029304000,
ADES,2012,-16399000,
ADES,2013,3621000,
ADES,2014,3423000,
ADES,2015,-21218000,0
ADES,2016,19993000,0
ADES,2017,37127000,-15690000
ADES,2018,37286000,-20165000
ADI,2008,669368000,-222530000
ADI,2009,432148000,-232988000
ADI,2010,991175000,-249964000
ADI,2011,900529000,-281626000
ADI,2012,814542000,-344701000
ADI,2013,912345000,-405955000
ADI,2014,871602000,-454225000
ADI,2015,907798000,-491059000
ADI,2016,1280895000,-513180000
ADI,2017,1112592000,-602119000
ADI,2018,2442361000,-703307000
ADIL,2017,-494862,
ADIL,2018,-2498387,
ADM,2009,5341000000,-347000000
ADM,2010,2684000000,-372000000
ADM,2011,-2340000000,-395000000
ADM,2012,2332000000,-461000000
ADM,2013,5226000000,-501000000
ADM,2014,4943000000,-624000000
ADM,2015,2470000000,-687000000
ADM,2016,1475000000,-701000000
ADM,2017,2211000000,-730000000
ADM,2018,-4784000000,-758000000
ADMA,2018,-62678682,
ADP,2009,1562600000,-629400000
ADP,2010,1682100000,-673400000
ADP,2011,1705800000,-692400000
ADP,2012,1910200000,-739700000
ADP,2013,1577200000,-805500000
ADP,2014,1821400000,-883100000
ADP,2015,1974000000,-927600000
ADP,2016,1897300000,-943600000
ADP,2017,2125900000,-995200000
ADP,2018,2515200000,-1063700000
ADP,2019,2688300000,-1293000000
ADPT,2013,6872000,
ADPT,2014,-24698000,-60000000
ADPT,2015,13081000,
ADRO,2014,19365000,
ADRO,2015,154810000,
ADRO,2016,-86076000,
ADRO,2017,-88856000,
ADRO,2018,-68759000,
ADS,2009,271142000,
ADS,2010,902709000,
ADS,2011,1011347000,
ADS,2012,1134190000,
ADS,2013,1003492000,
ADS,2014,1344200000,
ADS,2015,1705800000,
ADS,2016,2088400000,-30000000
ADS,2017,2609600000,-115500000
ADS,2018,2754900000,-125200000
ADSK,2009,593900000,
ADSK,2010,246800000,
ADSK,2011,540800000,
ADSK,2012,573500000,
ADSK,2013,559100000,
ADSK,2014,708600000,
ADSK,2015,414000000,
ADSK,2016,169700000,
ADSK,2017,900000,
ADSK,2018,377100000,
ADT,2017,1591930000,-749999000
ADT,2018,1787607000,-79439000
ADT,2019,1873117000,-564767000
ADVM,2013,-2175000,
ADVM,2014,-5648000,
ADVM,2015,-35338000,
ADVM,2016,-38366000,
ADVM,2017,-45421000,
ADVM,2018,-52714000,
AE,2010,-6381000,-2277000
AE,2011,9861000,-2404000
AE,2012,39391000,-2615000
AE,2013,43821000,-2783000
AE,2014,145814000,-3711000
AE,2015,106965000,-3712000
AE,2016,-144000,-3711000
AE,2017,-17572000,-3711000
AE,2018,31014000,-3711000
AE,2019,46899000,-3976000
AEE,2008,1524000000,-534000000
AEE,2009,1967000000,-338000000
AEE,2010,1823000000,-368000000
AEE,2011,1878000000,-375000000
AEE,2012,1690000000,-382000000
AEE,2013,1693000000,-388000000
AEE,2014,1565000000,-390000000
AEE,2015,2031000000,-402000000
AEE,2016,2123000000,-416000000
AEE,2017,2104000000,-431000000
AEE,2018,2170000000,-451000000
AEHR,2011,-4142000,
AEHR,2012,-4875000,
AEHR,2013,-310000,
AEHR,2014,-607000,
AEHR,2015,-2256000,
AEHR,2016,-6281000,
AEHR,2017,-4495000,
AEHR,2018,-1351000,
AEHR,2019,-5637000,
AEIS,2010,18344000,
AEIS,2011,38095000,
AEIS,2012,110777000,
AEIS,2013,35316000,
AEIS,2014,77162000,
AEIS,2015,104709000,
AEIS,2016,119287000,
AEIS,2017,182701000,
AEIS,2018,151271000,
AEO,2009,400326000,-82985000
AEO,2010,410416000,-183166000
AEO,2011,278137000,-85592000
AEO,2012,499671000,-403490000
AEO,2013,229856000,-72280000
AEO,2014,338426000,-97224000
AEO,2015,341918000,-97237000
AEO,2016,365596000,-90680000
AEO,2017,394426000,-88548000
AEO,2018,456645000,-97123000
AEP,2008,2581000000,-669000000
AEP,2009,2475000000,-761000000
AEP,2010,2662000000,-827000000
AEP,2011,3788000000,-900000000
AEP,2012,3804000000,-916000000
AEP,2013,4096200000,-954300000
AEP,2014,4602400000,-997600000
AEP,2015,4748700000,-1059000000
AEP,2016,4521800000,-1121000000
AEP,2017,4270400000,-1191900000
AEP,2018,5223200000,-1255500000
AEPI,2010,21702000,
AEPI,2011,23500000,
AEPI,2012,72044000,
AEPI,2013,34096000,
AEPI,2014,23649000,
AEPI,2015,70483000,
AEPI,2016,84374000,-3834000
AES,2008,2160000000,
AES,2009,2211000000,
AES,2010,3465000000,0
AES,2011,2884000000,0
AES,2012,2901000000,-30000000
AES,2013,2715000000,-119000000
AES,2014,1791000000,-144000000
AES,2015,2134000000,-276000000
AES,2016,2884000000,-290000000
AES,2017,2489000000,-317000000
AES,2018,2343000000,-344000000
AFI,2015,52600000,
AFI,2016,54000000,
AFI,2017,62900000,
AFI,2018,62500000,
AGCO,2009,347900000,
AGCO,2010,438700000,
AGCO,2011,725900000,0
AGCO,2012,666400000,0
AGCO,2013,797000000,-38900000
AGCO,2014,438400000,-40800000
AGCO,2015,524200000,-42000000
AGCO,2016,369500000,-42500000
AGCO,2017,577600000,-44500000
AGCO,2018,595900000,-47100000
AGI,2010,121800000,
AGI,2011,107000000,
AGI,2012,68900000,
AGI,2013,41500000,
AGI,2014,40800000,
AGI,2015,14100000,
AGI,2016,28300000,
AGIO,2012,-49548000,
AGIO,2013,-56400000,
AGIO,2014,-59353000,
AGIO,2015,-76949000,
AGIO,2016,38562000,
AGIO,2017,-285232000,
AGIO,2018,-304421000,
AGLE,2015,-10982000,
AGLE,2016,-18840000,
AGLE,2017,-24615000,
AGLE,2018,-32193000,
AGN,2012,665800000,
AGN,2013,1213500000,
AGN,2014,2243000000,
AGN,2015,4530000000,-208100000
AGN,2016,1425300000,-278400000
AGN,2017,5873400000,-1218200000
AGN,2018,5640100000,-1049800000
AGNC,2010,233000000,-173000000
AGNC,2011,1070000000,-664000000
AGNC,2012,2321000000,-1415000000
AGNC,2013,2501000000,-1659000000
AGNC,2014,1622000000,-1094000000
AGNC,2015,1428000000,-902000000
AGNC,2016,1352000000,-799000000
AGNC,2017,1260000000,-795000000
AGNC,2018,1113000000,-974000000
AGN_old,2008,682500000,-60700000
AGN_old,2009,1113300000,-60600000
AGN_old,2010,463900000,-60600000
AGN_old,2011,1081900000,-61100000
AGN_old,2012,1599900000,-60400000
AGN_old,2013,1695400000,-59400000
AGN_old,2014,1927800000,-59600000
AGR,2014,1331000000,
AGR,2015,1363000000,
AGR,2016,1561000000,-401000000
AGR,2017,1763000000,-535000000
AGR,2018,1791000000,-537000000
AGX,2010,19337000,
AGX,2011,78715000,-6804000
AGX,2012,30834000,-8359000
AGX,2013,98407000,-10640000
AGX,2014,93329000,-10166000
AGX,2015,-33032000,-10378000
AGX,2016,259044000,-15260000
AGX,2017,-72793000,-15548000
AGX,2018,-112322000,-15570000
AGYS,2010,14783000,
AGYS,2011,-21698000,
AGYS,2012,-10705000,
AGYS,2013,73000,
AGYS,2014,-2186000,
AGYS,2015,7218000,
AGYS,2016,3433000,
AGYS,2017,6874000,
AGYS,2018,7241000,
AHPI,2011,1477884,
AHPI,2012,982596,
AHPI,2013,20270,
AHPI,2014,-1882653,
AHPI,2015,814350,
AHPI,2016,-236983,
AHPI,2017,-686911,
AHPI,2018,-859592,
AHPI,2019,59342,
AHS,2010,8089000,
AHS,2011,19312000,
AHS,2012,58380000,
AHS,2013,63215000,
AHS,2014,27678000,
AHS,2015,56313000,
AHS,2016,131851000,
AHS,2017,115262000,
AHS,2018,226993000,
AIMC,2010,42764000,
AIMC,2011,46901000,
AIMC,2012,59918000,-4304000
AIMC,2013,89625000,-7548000
AIMC,2014,84499000,-15033000
AIMC,2015,86816000,-14928000
AIMC,2016,76641000,-11667000
AIMC,2017,80500000,-18300000
AIMC,2018,116300000,-20000000
AIR,2010,153156000,
AIR,2011,108600000,-3000000
AIR,2012,94200000,-12100000
AIR,2013,162900000,-12800000
AIR,2014,139800000,-11800000
AIR,2015,-43000000,-11900000
AIR,2016,32100000,-10400000
AIR,2017,21800000,-10200000
