ticker,fiscal_year,num_shs_outstand,revenue,pretax_income,net_income,total_current_assets,total_assets,st_debt,total_current_liabilities,lt_debt,total_liabilities,retained_earnings,cash_operating_activities,dividends_paid
AAON,2010,56695874,244552000,32693000,21894000,91748000,160277000,,36246000,,43538000,116640000,32152000,-9168000
AAON,2011,55552167,266220000,21513000,13986000,84387000,178981000,,38687000,,56477000,122406000,26484000,-5935000
AAON,2012,55237755,303114000,44317000,27449000,91546000,193493000,,39625000,,55357000,137989000,51167000,-8840000
AAON,2013,55119150,321140000,56294000,37547000,113623000,215444000,,36914000,,51338000,163885000,53592000,-7428000
AAON,2014,54809319,356322000,68246000,44158000,124940000,226974000,,43719000,,52915000,173843000,53518000,-9656000
AAON,2015,54045841,358632000,71339000,45728000,124213000,232854000,,44111000,,53936000,178706000,55355000,-11857000
AAON,2016,52924398,383977000,79991000,53376000,140981000,256530000,,40540000,,50632000,205687000,63923000,-12676000
AAON,2017,52572496,405232000,74492000,54498000,153727000,296780000,,51577000,,59554000,237016000,57994000,-13663000
AAON,2018,52284616,433947000,55939000,42572000,140861000,308197000,,48071000,,60698000,247291000,54856000,-16728000
AAP,2009,94459000,5412623000,431655000,270373000,1887618000,3072963000,1344000,1466027000,202927000,1790598000,1287268000,699690000,-22803000
AAP,2010,86082000,5925203000,557055000,346053000,2124271000,3354217000,973000,1848049000,300851000,2314843000,1612927000,666159000,-21051000
AAP,2011,75620000,6170462000,633236000,394682000,2293820000,3655754000,848000,2187875000,415136000,2807840000,1989629000,828849000,-18554000
AAP,2012,73091000,6205003000,624074000,387670000,3184200000,4613814000,627000,2559638000,604461000,3403120000,714900000,685281000,-17596000
AAP,2013,72930000,6493814000,626398000,391758000,3989384000,5564774000,916000,2764785000,1052668000,4048569000,1089112000,545250000,-17574000
AAP,2014,72932000,9843861000,781394000,493825000,4741040000,7962358000,582000,3654416000,1636311000,5959446000,1565341000,708991000,-17580000
AAP,2015,73190000,9737018000,752888000,473398000,4940746000,8127701000,598000,3797477000,1206297000,5667053000,2021077000,702644000,-17649000
AAP,2016,73562000,9567679000,738835000,459622000,5172764000,8315033000,,3676046000,1042949000,5398841000,2462935000,523303000,-17738000
AAP,2017,73846000,9373784000,520259000,475505000,5426892000,8482301000,,3480097000,1044327000,5067105000,2920096000,600805000,-17854000
AAP,2018,73728000,9580554000,555264000,423847000,6082454000,9040648000,,3885950000,1045720000,5489835000,3326155000,811028000,-17819000
AAPL,2000,24208660000,7983000000,1092000000,786000000,5427000000,6803000000,,1933000000,300000000,2696000000,2285000000,868000000,
AAPL,2001,24208660000,5363000000,-52000000,-37000000,5143000000,6021000000,,1518000000,317000000,2101000000,2260000000,185000000,
AAPL,2002,24208660000,5742000000,87000000,65000000,5388000000,6298000000,,1658000000,316000000,2203000000,2325000000,89000000,
AAPL,2003,24208660000,6207000000,92000000,68000000,5887000000,6815000000,304000000,2357000000,,2592000000,2394000000,290000000,
AAPL,2004,24208660000,8279000000,370000000,266000000,7055000000,8050000000,,2651000000,,2974000000,2670000000,934000000,
AAPL,2005,24208660000,13931000000,1808000000,1328000000,10300000000,11516000000,,3487000000,,4088000000,3925000000,2535000000,
AAPL,2006,24208660000,19315000000,2818000000,1989000000,14509000000,17205000000,,6443000000,,7221000000,5607000000,2220000000,
AAPL,2007,24208660000,24006000000,5008000000,3496000000,21956000000,25347000000,,9280000000,,10815000000,9101000000,5467000000,
AAPL,2008,24684576000,37491000000,8947000000,6119000000,32311000000,39572000000,,14092000000,,18542000000,13845000000,9596000000,
AAPL,2009,25004448000,42905000000,12066000000,8235000000,31555000000,47501000000,,11506000000,,15861000000,23353000000,10159000000,
AAPL,2010,25464908000,65225000000,18540000000,14013000000,41678000000,75183000000,,20722000000,,27392000000,37169000000,18595000000,0
AAPL,2011,25879224000,1.08E+11,34205000000,25922000000,44988000000,1.16E+11,,27970000000,,39756000000,62841000000,37529000000,0
AAPL,2012,26174904000,1.57E+11,55763000000,41733000000,57653000000,1.76E+11,,38542000000,0,57854000000,1.01E+11,50856000000,-2488000000
AAPL,2013,25909280000,1.71E+11,50155000000,37037000000,73286000000,2.07E+11,0,43658000000,16960000000,83451000000,1.04E+11,53666000000,-10564000000
AAPL,2014,24342288000,1.83E+11,53483000000,39510000000,68531000000,2.32E+11,6308000000,63448000000,28987000000,1.2E+11,87152000000,59713000000,-11126000000
AAPL,2015,23013684000,2.34E+11,72515000000,53394000000,89378000000,2.9E+11,10999000000,80610000000,53329000000,1.71E+11,92284000000,81266000000,-11561000000
AAPL,2016,21883280000,2.16E+11,61372000000,45687000000,1.07E+11,3.22E+11,11605000000,79006000000,75427000000,1.93E+11,96364000000,66231000000,-12150000000
AAPL,2017,20868968000,2.29E+11,64089000000,48351000000,1.29E+11,3.75E+11,1.09E+11,1.92E+11,6496000000,2.41E+11,98330000000,64225000000,-12769000000
AAPL,2018,19821508000,2.66E+11,72903000000,59531000000,1.31E+11,3.66E+11,20748000000,1.16E+11,93735000000,2.59E+11,70400000000,77434000000,-13712000000
AAPL,2019,18471336000,2.6E+11,65737000000,55256000000,1.63E+11,3.39E+11,16240000000,1.06E+11,91807000000,2.48E+11,45898000000,69391000000,-14119000000
AAWW,2010,25781000,1337774000,233110000,141810000,727432000,1936102000,96197000,269043000,391036000,886012000,572666000,280543000,
AAWW,2011,26227000,1398216000,156989000,96083000,393837000,2390998000,70007000,272657000,680009000,1249623000,668749000,142958000,
AAWW,2012,26419000,1646032000,205275000,129927000,632995000,3152685000,154760000,328016000,1149282000,1864581000,798676000,255500000,
AAWW,2013,25541000,1656900000,117822000,93837000,593953000,3718259000,157486000,417145000,1539139000,2396134000,892513000,302093000,
AAWW,2014,25031000,1799198000,89549000,106757000,565181000,4007277000,181193000,475651000,1736747000,2589482000,999270000,273145000,
AAWW,2015,24833000,1822659000,-17220000,7286000,651937000,4164403000,161811000,548227000,1739496000,2710220000,1006556000,372887000,
AAWW,2016,24843000,1839627000,89416000,41516000,358070000,4247379000,184748000,565178000,1666663000,2730041000,1048072000,232182000,
AAWW,2017,25241000,2156460000,143372000,223473000,587586000,4955462000,218013000,738596000,2008986000,3165606000,1271545000,331719000,
AAWW,2018,25542000,2677724000,309374000,270567000,629831000,5534792000,264835000,817733000,2205005000,3466828000,1539956000,425580000,
AAXN,2010,62524446,86930019,-5113820,-4384435,82326195,136186935,,11947994,,18622694,35185191,731525,
AAXN,2011,59436000,90028000,-9629000,-7040000,61732423,104962751,,15887897,,22507197,28145325,17266000,
AAXN,2012,53827000,114753000,22612000,14738000,79053000,116236000,,18109000,103000,28951000,42883000,26517000,
AAXN,2013,51880000,137831000,28034000,18244000,97467000,148382000,,23129000,67000,40035000,61127000,32426000,
AAXN,2014,52948000,164525000,32311000,19918000,134642000,185368000,,31973000,29000,56262000,81045000,35432000,
AAXN,2015,53548000,197892000,35361000,19933000,161409000,229881000,,38140000,,72877000,100978000,46445000,
AAXN,2016,52667000,268245000,31497000,17297000,177231000,278163000,,78039000,2289000,127275000,118275000,17925000,
AAXN,2017,52726000,343798000,15761000,5207000,205192000,338112000,,107950000,1224000,170668000,123185000,18490000,
AAXN,2018,56392000,420068000,28104000,29205000,558155000,719540000,,166011000,5704000,252216000,171383000,63875000,
AB,2015,,,210084000,185764000,,1576120000,,274000,,274000,,192789000,-192299000
AB,2016,,,239389000,216586000,,1540508000,,619000,,619000,,169531000,-169731000
AB,2017,,,232393000,207422000,,1544704000,,1154000,,1154000,,202410000,-202388000
AB,2018,,,270647000,242397000,,1490701000,,644000,,644000,,279282000,-280722000
ABAX,2010,22365000,143676000,23571000,14537000,124064000,188260000,1031000,16522000,937000,19612000,36606000,16369000,0
ABAX,2011,22084000,156596000,20167000,13091000,127397000,181836000,1245000,17431000,1384000,22051000,49697000,22835000,0
